date,tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
2017-06-25,28.4,23.8,21.8,75.4,24.4,24.5,20
2017-06-26,29.9,23.1,21.1,76.9,24.5,24.2,20.2
2017-06-27,30.5,25.2,21.2,67.5,27.3,23.9,20.2
2017-06-28,30.5,26,21,63.5,27,24.4,20.3
2017-06-29,31.5,26.2,21.3,64.8,29.5,24.6,20.4
2017-06-30,30.9,25.9,21.5,65.9,31.4,24.9,20.4
2017-07-01,30.7,25.3,23.3,73.6,30.5,25.1,20.6
2017-07-02,26.8,24.3,27.4,90.5,24.7,25.2,20.7
2017-07-03,27.4,24.7,27,87.6,25.1,24.1,22.2
2017-07-04,31.6,26.7,25.6,74.5,28.3,24.5,22.2
2017-07-05,32.6,27.4,23.8,66.9,27.2,25.1,22
2017-07-06,34.6,27.6,25.9,72.3,31.1,25.5,21.8
2017-07-07,28.4,26.4,27.7,80.8,26.4,26.1,21.9
2017-07-08,27.6,26,27.8,83.3,25.9,25.8,22.2
2017-07-09,30.3,26.3,29.8,88,27.4,25.6,22.4
2017-07-10,25.4,24,28.7,96.5,24.4,26,22.7
2017-07-11,30.9,26,26.9,81.4,27.2,25.3,24.2
2017-07-12,31.1,27.1,26.8,75.9,29.2,25.9,23.8
2017-07-13,32.1,27.6,25.7,71,29.2,26.2,23.6
2017-07-14,33,28.7,26.6,68.4,30.7,26.6,23.3
2017-07-15,27.3,25,28,89,25.7,26.8,23.3
2017-07-16,28.8,26.2,27.9,83.4,27.1,26.3,23.5
2017-07-17,29,26.8,26.9,77.3,28.1,26.4,23.8
2017-07-18,30.7,26.5,27.5,80.6,27.5,26.5,23.7
2017-07-19,34.1,28.3,26.9,71.4,29.6,26.6,23.7
2017-07-20,34.9,29.9,27.4,66.1,33.2,27.1,23.6
2017-07-21,32.4,29.8,30.5,73.1,30.7,27.6,23.6
2017-07-22,32.5,29.3,30.6,75.8,30.9,27.7,23.6
2017-07-23,28.1,27,31.7,89.5,26.7,27.7,23.7
2017-07-24,27.3,26.2,27.9,82.3,26.8,27.1,25.2
2017-07-25,35.4,29.4,25.4,64.1,31.7,26.9,24.9
2017-07-26,32.8,28.7,21.5,55.6,32.5,27.5,24.8
2017-07-27,29.7,27.1,22.1,62.5,29,27.8,24.7
2017-07-28,26.9,25.5,29.9,92.1,25.9,27.4,24.7
2017-07-29,30.1,27.2,25.8,72.3,27.5,26.9,24.6
2017-07-30,32.6,27.9,23.8,64.4,29.9,27,24.6
2017-07-31,27.1,25.7,27.1,82.3,26.1,27.5,24.6
2017-08-01,33,28.6,28,73,29.4,26.9,24.5
2017-08-02,33,30,30.2,85.3,30.4,27.5,24.5
2017-08-03,33.9,30.2,25.4,60.6,32.8,27.8,24.5
2017-08-04,35.3,30.3,25.6,60.1,34.6,28.1,24.4
2017-08-05,34.8,31.4,28.7,63,35.8,28.5,24.5
2017-08-06,34,29.8,29.9,71.9,32.1,28.7,24.6
2017-08-07,34.4,29.2,26.9,68.1,33.6,28.6,24.6
2017-08-08,31,28.2,25.3,67.1,30.5,28.7,24.8
2017-08-09,32,27.6,24.1,66.4,32,28.4,24.9
2017-08-10,26.3,24.8,28.1,89.9,27.4,28.2,25
2017-08-11,32.4,27,25.5,72.5,29.4,27.7,24.9
2017-08-12,32.6,27.8,22.2,60.3,29.2,27.7,24.9
2017-08-13,28.4,26.3,21.1,62.1,27.8,27.8,25
2017-08-14,27.1,24.6,20.9,67.5,25.4,27.4,25.1
2017-08-15,24,21.9,24.5,93.8,22.9,26.7,25.1
2017-08-16,26.8,23.3,22.8,80.5,24.6,25.3,25.5
2017-08-17,27.7,24.8,24,77.1,26.1,25.5,25.4
2017-08-18,30.6,26.3,25.5,75.6,26.8,25.9,25.2
2017-08-19,28.7,26.1,25.4,75.8,26.9,26.1,25
2017-08-20,25.8,23.2,27.1,95.6,23.8,26.1,24.9
2017-08-21,29.2,25.8,26.9,81.5,26.9,25.3,25.4
2017-08-22,31.5,27.3,25.1,70.6,29,25.6,25.2
2017-08-23,30.2,27.2,30.3,84.1,27.4,26.2,25.1
2017-08-24,28.1,26.5,29.4,85.3,25.7,26.5,25.1
2017-08-25,30.6,25.3,19,61.9,25.7,26.2,25.1
2017-08-26,29.2,24.2,15.7,54.5,27.3,26,24.9
2017-08-27,26.7,22.7,17,62,24.8,25.9,25
2017-08-28,26.5,21.5,18.2,73.1,22.6,25.5,24.9
2017-08-29,24,19.5,11.4,51.4,22.8,24.9,24.8
2017-08-30,23.9,19.8,13.2,55.8,19.7,24.4,24.8
2017-08-31,27.6,22.2,16,62.4,24.3,23.9,23.7
2017-09-01,29.7,23.3,15.3,56,26.6,23.9,24.5
2017-09-02,29.6,23.8,16.9,59,27.2,24.2,24.4
2017-09-03,29.2,23.7,18.4,64,25.6,24.4,24.3
2017-09-04,30.1,24.6,15.8,53.8,28.6,24.5,24.2
2017-09-05,23.7,21.9,16.4,62.4,22.6,24.7,24.2
2017-09-06,24,20.6,18.3,75.5,21.5,24.2,24.1
2017-09-07,27.5,22.4,19.7,73.3,24.3,23.9,24.1
2017-09-08,29.9,24.3,19.6,67.5,27.6,24.1,24
2017-09-09,28.2,23.8,20.1,70.1,26.5,24.3,23.9
2017-09-10,26.1,23,20.7,74.3,24.3,24.4,23.9
2017-09-11,24.6,21.2,19.8,79.8,22.6,24.2,23.9
2017-09-12,27.9,22.1,15.2,58.6,23.3,23.7,23.8
2017-09-13,27.5,21.4,12.1,49.3,23,23.6,23.7
2017-09-14,29.5,22.4,12.7,48.8,23.9,23.3,23.7
2017-09-15,27.9,22.6,13,48.4,25,23.4,23.6
2017-09-16,27.6,22,13.3,50.9,25.2,23.3,23.6
2017-09-17,29.2,23.1,14.2,51.3,26.7,23.4,23.5
2017-09-18,27.6,21.9,16.1,62.8,25.8,23.4,23.4
2017-09-19,25.8,22.6,21.7,79.1,24.6,23.9,23.4
2017-09-20,24.9,19.5,10.8,48.9,20.3,23.3,23.4
2017-09-21,27,20.3,12.8,57.3,21.7,22.8,23.3
2017-09-22,26.8,20.6,14.4,60.8,22.1,22.6,23.3
2017-09-23,27.3,21.8,17.9,69.8,23.3,22.7,23.3
2017-09-24,27.9,22.4,19.2,71.5,24.3,22.9,23.2
2017-09-25,30.1,23.4,16,58,25.2,23,23.1
2017-09-26,31.4,25.1,17.6,57,27,23.1,23.1
2017-09-27,27.3,22.7,18.3,66.4,24,23.7,23.1
2017-09-28,25.3,19.2,10.6,49.1,23,23.4,23
2017-09-29,23.5,17.4,7.5,39.3,20,22.8,23
2017-09-30,25.9,20,15.2,64.9,21.1,22.3,23.1
2017-10-01,21.2,18.2,15.4,74.8,18.8,22.2,23
2017-10-02,29.4,22,15.6,62.3,21.7,21.7,22.9
2017-10-03,23.6,17.6,10.1,49.8,18.2,22,22.9
2017-10-04,24.3,16.7,9.1,48.5,17.5,21.5,22.8
2017-10-05,23.4,18.7,12,56.4,18.7,21.1,22.7
2017-10-06,23.3,18.9,14.3,66.4,19.4,21.1,22.6
2017-10-07,28.8,21.9,17.3,67.6,23.9,21.1,22.5
2017-10-08,28.7,23,18.4,66.9,25.3,21.7,22.4
2017-10-09,27.6,22.5,17.6,66,24.9,22.2,22.3
2017-10-10,24.8,21.4,19.4,76.9,22.1,22.4,22.3
2017-10-11,21.7,15.5,13.8,77.1,17.4,22.2,22.3
2017-10-12,16.4,11.4,9.3,71,11.7,21.1,22.3
2017-10-13,18.9,12.8,7.3,51,12.8,19.7,22.2
2017-10-14,20.5,14.4,6.6,42.8,13.5,19,22.2
2017-10-15,23,15.8,7.5,42.5,15.3,18.8,22
2017-10-16,22,16.6,8.8,47.6,17.2,18.8,21.9
2017-10-17,23.9,16.2,8.5,47.1,16.2,18.7,21.7
2017-10-18,19.1,16.5,10.9,58.8,15.7,18.7,21.5
2017-10-19,23.2,17,10.8,58.3,16.8,18.5,21.4
2017-10-20,24.2,17,10.8,58.6,16.9,18.5,21.2
2017-10-21,25.2,17.6,9.9,52.8,16.7,18.5,21.1
2017-10-22,22.7,16.3,9,50.4,15.6,18.4,21
2017-10-23,20.6,13.7,8.8,47,14.4,18.1,20.9
2017-10-24,20.9,14.4,8.6,54.3,14.3,17.8,20.7
2017-10-25,20.6,14.4,9.2,59,14.7,17.6,20.6
2017-10-26,18.1,14.5,9,56.5,14.6,17.5,20.6
2017-10-27,24.2,16.9,10.1,54.4,16.8,17.5,20.4
2017-10-28,24.8,17.2,9.9,51.9,16.5,17.5,20.2
